"timestanp_secs", "timestamp", "soil_temperature", "air_temperature", "humidity", "battery_volts", "solar_volts"
23537653.0,2017-10-10 10:14:14,22.68,19.0,55.0,4.058,0.0
23544066.0,2017-10-10 12:01:07,22.31,19.0,54.0,4.045,0.0
23545866.0,2017-10-10 12:31:07,22.18,19.0,55.0,4.045,0.0
23549466.0,2017-10-10 13:31:07,22.0,19.0,55.0,4.051,0.0
23551266.0,2017-10-10 14:01:07,21.93,19.0,54.0,4.051,0.0
23553066.0,2017-10-10 14:31:07,21.87,20.0,55.0,4.051,0.0
23554866.0,2017-10-10 15:01:07,21.87,19.0,56.0,4.051,0.0
23556666.0,2017-10-10 15:31:07,21.93,19.0,57.0,4.051,0.264
23558466.0,2017-10-10 16:01:07,22.06,18.0,61.0,4.058,4.032
23560266.0,2017-10-10 16:31:07,22.18,20.0,60.0,4.058,4.309
23562066.0,2017-10-10 17:01:07,22.37,21.0,59.0,4.058,4.329
23563866.0,2017-10-10 17:31:07,22.62,23.0,59.0,4.058,4.412
23565666.0,2017-10-10 18:01:07,22.87,22.0,60.0,4.083,4.367
23567466.0,2017-10-10 18:31:07,23.12,24.0,58.0,4.064,4.387
23571066.0,2017-10-10 19:31:07,23.75,25.0,57.0,4.083,4.587
23572866.0,2017-10-10 20:01:07,24.25,26.0,54.0,4.096,4.677
23574666.0,2017-10-10 20:31:07,24.56,25.0,47.0,4.103,4.677
23576466.0,2017-10-10 21:01:07,24.81,27.0,40.0,4.187,4.716
23578266.0,2017-10-10 21:31:07,25.18,28.0,39.0,4.141,4.722
23580066.0,2017-10-10 22:01:07,25.5,28.0,37.0,4.141,4.696
23581866.0,2017-10-10 22:31:07,25.81,28.0,37.0,4.161,4.567
23583666.0,2017-10-10 23:01:07,26.18,29.0,33.0,4.193,4.741
23585466.0,2017-10-10 23:31:07,26.5,30.0,33.0,4.187,4.954
23587386.0,2017-10-11 00:03:07,26.81,30.0,30.0,4.2,4.8
23589251.0,2017-10-11 00:34:12,27.18,30.0,27.0,4.193,4.754
23591106.0,2017-10-11 01:05:07,26.93,30.0,30.0,4.206,4.87
23592906.0,2017-10-11 01:35:07,26.62,27.0,28.0,4.206,4.877
23594706.0,2017-10-11 02:05:07,26.43,27.0,34.0,4.206,4.535
23596506.0,2017-10-11 02:35:07,26.31,27.0,36.0,4.206,4.877
23598306.0,2017-10-11 03:05:07,26.0,27.0,36.0,4.206,4.49
23600106.0,2017-10-11 03:35:07,25.75,27.0,37.0,4.2,4.451
23601906.0,2017-10-11 04:05:07,25.56,25.0,40.0,4.2,4.0
23603706.0,2017-10-11 04:35:07,25.31,24.0,41.0,4.2,0.316
23607306.0,2017-10-11 05:35:07,24.81,23.0,41.0,4.193,0.0
